#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.955,5,62.295055
0.946,6,62.30449
0.955,5,62.31154
0.955,5,62.318582
0.946,6,62.326895
0.946,6,62.338837
0.919,9,62.353338
0.946,6,62.362429
0.937,7,62.372404
0.937,7,62.382121
0.946,6,62.391116
0.919,9,62.403553
0.955,5,62.410893
0.937,7,62.420735
0.901,11,62.439323
0.946,6,62.451861
0.865,15,62.47405
0.955,5,62.481093
0.937,7,62.490896
0.955,5,62.498127
0.955,5,62.50537
0.919,9,62.517932
0.946,6,62.526244
0.955,5,62.533034
0.937,7,62.546743
0.937,7,62.558206
0.946,6,62.566375
0.946,6,62.574603
0.946,6,62.582841
0.937,7,62.592602
0.91,10,62.605912
0.946,6,62.613897
0.937,7,62.62322
0.946,6,62.631255
0.946,6,62.6427
0.928,8,62.655337
0.937,7,62.666029
0.946,6,62.67478
0.937,7,62.685143
0.955,5,62.692154
0.955,5,62.698963
0.946,6,62.707286
0.955,5,62.714059
0.955,5,62.720768
0.937,7,62.729999
0.955,5,62.737078
0.928,8,62.751312
0.946,6,62.761579
0.937,7,62.771913
0.946,6,62.780502
0.955,5,62.788208
0.937,7,62.798031
0.955,5,62.80511
0.955,5,62.812155
0.955,5,62.819714
0.955,5,62.826947
0.919,9,62.839556
0.919,9,65.883072
0.955,5,65.890656
0.946,6,65.900264
0.955,5,65.907684
0.955,5,65.915031
0.946,6,65.923628
0.955,5,65.930844
0.955,5,65.938678
0.955,5,65.94608
0.946,6,65.95859
0.955,5,65.969241
0.955,5,65.978184
0.955,5,65.98695
0.955,5,65.995378
0.946,6,66.005447
0.946,6,66.015447
0.955,5,66.023896
0.955,5,66.031848
0.955,5,66.039605
0.937,7,66.050614
0.955,5,66.061423
0.955,5,66.070211
0.955,5,66.078285
0.955,5,66.085621
0.955,5,66.09329
0.946,6,66.102139
0.955,5,66.109284
0.955,5,66.116425
0.955,5,66.123434
0.955,5,66.131046
0.946,6,66.13981
0.946,6,66.148231
0.937,7,66.161232
0.955,5,66.171218
0.955,5,66.17993
0.955,5,66.187459
0.955,5,66.194563
0.955,5,66.201861
